S16000102,East Lothian,South Scotand,5-May-2016,60848,38031,37913,118,62.5,0.3,9045,14329,1337,13202,0,0,0,0,23.9,37.8,3.5,34.8,0,0,0,0,Lab,SNP
S16000103,Eastwood,West Scotland,5-May-2016,53085,36372,36256,116,68.5,0.3,12932,11081,921,11322,0,0,0,0,35.7,30.6,2.5,31.2,0,0,0,0,Con,SNP
S16000104,Edinburgh Central,Lothian,5-May-2016,59581,34278,34169,107,57.5,0.3,10399,7546,1672,9789,0,0,4644,119,30.4,22.1,4.9,28.7,0,0,13.6,0.4,Con,SNP
S16000105,Edinburgh Eastern,Lothian,5-May-2016,62817,35624,35397,227,56.7,0.6,5700,11673,1264,16760,0,0,0,0,16.1,33,3.6,47.4,0,0,0,0,SNP,Lab
S16000106,Edinburgh Northern & Leith,Lothian,5-May-2016,67273,37362,37102,260,55.5,0.7,6081,10576,1779,17322,1344,0,0,0,16.4,28.5,4.8,46.7,3.6,0,0,0,SNP,Lab
S16000107,Edinburgh Pentlands,Lothian,5-May-2016,55241,33490,33353,137,60.6,0.4,10725,7811,1636,13181,0,0,0,0,32.2,23.4,4.9,39.5,0,0,0,0,SNP,Con
S16000108,Edinburgh Southern,Lothian,5-May-2016,59587,38492,38259,233,64.6,0.6,9972,13597,2216,12474,0,0,0,0,26.1,35.5,5.8,32.6,0,0,0,0,Lab,SNP
S16000109,Edinburgh Western,Lothian,5-May-2016,61666,39890,39766,124,64.7,0.3,5686,3750,16645,13685,0,0,0,0,14.3,9.4,41.9,34.4,0,0,0,0,LD,SNP
S16000111,"Ettrick, Roxburgh & Berwickshire",South Scotand,5-May-2016,54517,33183,33095,88,60.9,0.3,18257,1766,2551,10521,0,0,0,0,55.2,5.3,7.7,31.8,0,0,0,0,Con,SNP
S16000112,Falkirk East,Central,5-May-2016,60271,32629,32524,105,54.1,0.3,6342,8408,1054,16720,0,0,0,0,19.5,25.9,3.2,51.4,0,0,0,0,SNP,Lab
S16000113,Falkirk West,Central,5-May-2016,59812,32203,32083,120,53.8,0.4,5877,6980,966,18260,0,0,0,0,18.3,21.8,3,56.9,0,0,0,0,SNP,Lab
S16000114,Galloway & West Dumfries,South Scotand,5-May-2016,56321,33458,33363,95,59.4,0.3,14527,4876,947,13013,0,0,0,0,43.5,14.6,2.8,39,0,0,0,0,Con,SNP
S16000115,Glasgow Anniesland,Glasgow,5-May-2016,57884,29201,29016,185,50.4,0.6,4057,8854,1098,15007,0,0,0,0,14,30.5,3.8,51.7,0,0,0,0,SNP,Lab
S16000116,Glasgow Cathcart,Glasgow,5-May-2016,60871,30816,30637,179,50.6,0.6,4514,6810,1703,16200,501,909,0,0,14.7,22.2,5.6,52.9,1.6,3,0,0,SNP,Lab
S16000117,Glasgow Kelvin,Glasgow,5-May-2016,62203,28555,28442,113,45.9,0.4,3346,5968,1050,10964,198,0,6916,0,11.8,21,3.7,38.6,0.7,0,24.3,0,SNP,Green
S16000118,Glasgow Maryhill & Springburn,Glasgow,5-May-2016,53647,23749,23612,137,44.3,0.6,2305,7507,691,13109,0,0,0,0,9.8,31.8,2.9,55.5,0,0,0,0,SNP,Lab
S16000119,Glasgow Pollok,Glasgow,5-May-2016,61350,28085,27943,142,45.8,0.5,2653,8834,585,15316,0,555,0,0,9.5,31.6,2.1,54.8,0,2,0,0,SNP,Lab
S16000120,Glasgow Provan,Glasgow,5-May-2016,56169,24248,24077,171,43.2,0.7,2062,8357,518,13140,0,0,0,0,8.6,34.7,2.2,54.6,0,0,0,0,SNP,Lab
S16000121,Glasgow Shettleston,Glasgow,5-May-2016,58021,25506,25375,131,44,0.5,3151,6875,568,14198,0,583,0,0,12.4,27.1,2.2,56,0,2.3,0,0,SNP,Lab
S16000122,Glasgow Southside,Glasgow,5-May-2016,52141,25182,24903,279,48.3,1.1,3100,5694,822,15287,0,0,0,0,12.5,22.9,3.3,61.4,0,0,0,0,SNP,Lab
S16000123,Greenock & Inverclyde,West Scotland,5-May-2016,55172,31838,31725,113,57.7,0.4,4487,8802,1404,17032,0,0,0,0,14.1,27.7,4.4,53.7,0,0,0,0,SNP,Lab
S16000124,"Hamilton, Larkhall & Stonehouse",Central,5-May-2016,57662,28995,28885,110,50.3,0.4,5596,8508,836,13945,0,0,0,0,19.4,29.5,2.9,48.3,0,0,0,0,SNP,Lab
S16000125,Inverness & Nairn,Highlands and Islands,5-May-2016,66619,38539,38317,222,57.8,0.6,7648,6719,5445,18505,0,0,0,0,20,17.5,14.2,48.3,0,0,0,0,SNP,Con
S16000126,Kilmarnock & Irvine Valley,South Scotand,5-May-2016,62620,34501,34385,116,55.1,0.3,6597,7853,888,19047,0,0,0,0,19.2,22.8,2.6,55.4,0,0,0,0,SNP,Lab
S16000127,Kirkcaldy,Mid Scotland and Fife,5-May-2016,59533,31267,31108,159,52.5,0.5,4568,8963,1219,16358,0,0,0,0,14.7,28.8,3.9,52.6,0,0,0,0,SNP,Lab
